Aff,Neg,Judges,Votes,Win
Horace Greeley AM,Jordan KV,"Rodrigo Paramo																																						Vontrez White																																						Ryan Davis","Neg																															Neg																															Neg","3-0																															NEG"
Awty International DC,Kinkaid SZ,"Rusem Paul																																						Mark Kivimaki																																						Patrick Fox","Neg																															Neg																															Aff","2-1																															NEG"
Greenhill MA,Harvard-Westlake EG,"David Coates																																						Nate Graziano																																						Joe Schmitt","Neg																															Neg																															Neg","3-0																															NEG"
Lakeville South EH,East Chapel Hill AX,"Nine Abad																																						Jonathan Alston																																						Cort Sylvester","Aff																															Aff																															Aff","3-0																															AFF"
Vestavia Hills MH,BASIS Scottsdale TK,"Sam Anderson																																						Elliot Harvanko																																						Leo Hickey","Aff																															Neg																															Neg","2-1																															NEG"
Harvard-Westlake LS,Edina NR,"Elizabeth Elliott																																						Ben Kleiman																																						Dylan Liu","Neg																															Neg																															Aff","2-1																															NEG"
Isidore Newman AB,,,,
Delores Taylor Arthur School for Young Men JB,,,,
Valley Christian CL,,,,
Flower Mound AM,,,,
Greenhill VT,,,,
Mountain Lakes EW,,,,
Horace Greeley SG,,,,
Harvard-Westlake KM,,,,
Greenhill AK,,,,
Cary Acad PL,,,,
Jordan FJ,,,,
Peninsula AL,,,,
Sonoma AM,,,,
Harvard-Westlake AM,,,,
Acton-Boxborough AK,,,,
Northern Valley AC,,,,
Peninsula AY,,,,
Peninsula KN,,,,
Lexington AL,,,,
Greenhill SK,,,,
St Luke's DG,,,,
Seven Lakes VS,,,,
Iowa City West JL,,,,
Newark Science AL,,,,
Acton-Boxborough NK,,,,
Head-Royce AJ,,,,